,gene_set,gene_number, random_state,epoch,train/test,loss,SmoothL1Loss,SmoothL1Loss_rank,pearson,mae,mse,rmse,spearman
1005003,random,4000,1.0,1000,Test,58.861,593.379,125.471,0.941,593.87,761859.062,872.845,0.916
1007005,random,5000,1.0,1000,Test,59.385,608.435,124.731,0.936,608.923,885686.25,941.109,0.914
1009007,random,6000,1.0,1000,Test,59.297,600.434,125.485,0.937,600.921,836830.812,914.785,0.92
1011009,random,8000,1.0,1000,Test,59.601,616.555,125.958,0.933,617.044,872212.75,933.923,0.913
1013011,random,10000,1.0,1000,Test,59.215,599.514,126.076,0.935,600.0,839172.625,916.064,0.914
1015013,random,12000,1.0,1000,Test,58.864,590.345,125.529,0.944,590.83,754456.062,868.594,0.92
1017015,random,14000,1.0,1000,Test,58.208,573.703,124.816,0.939,574.188,762189.5,873.035,0.919
1019017,random,16000,1.0,1000,Test,58.995,596.951,124.608,0.941,597.439,842390.938,917.819,0.913
1021019,random,50,2.0,1000,Test,79.834,803.936,127.882,0.799,804.418,2220592.25,1490.165,0.834
1023021,random,100,2.0,1000,Test,82.243,854.738,126.717,0.8,855.219,2358470.0,1535.731,0.839
1025023,random,200,2.0,1000,Test,78.614,826.753,128.059,0.819,827.236,2167386.25,1472.205,0.847
1027025,random,400,2.0,1000,Test,79.017,807.809,124.909,0.804,808.289,2305110.0,1518.259,0.855
1029027,random,600,2.0,1000,Test,68.481,696.36,125.518,0.878,696.84,1446967.5,1202.9,0.892
1031029,random,800,2.0,1000,Test,65.907,664.925,126.298,0.879,665.409,1324538.0,1150.886,0.88
1033031,random,1000,2.0,1000,Test,67.748,691.393,126.325,0.87,691.878,1482151.625,1217.437,0.878
1035033,random,1500,2.0,1000,Test,58.661,581.469,124.673,0.944,581.96,781684.812,884.129,0.92
1037035,random,2000,2.0,1000,Test,60.254,634.586,126.356,0.93,635.078,936544.938,967.753,0.908
1039037,random,2500,2.0,1000,Test,59.03,596.441,125.477,0.933,596.935,852095.625,923.09,0.915
1041039,random,3000,2.0,1000,Test,59.546,604.847,125.613,0.934,605.335,857195.688,925.849,0.917
1043041,random,4000,2.0,1000,Test,58.526,584.944,125.362,0.943,585.435,769426.688,877.17,0.92
1045043,random,5000,2.0,1000,Test,58.882,584.094,125.468,0.94,584.58,789606.688,888.598,0.923
1047045,random,6000,2.0,1000,Test,60.068,634.997,125.548,0.933,635.483,918124.5,958.188,0.91
1049047,random,8000,2.0,1000,Test,58.499,587.812,125.549,0.936,588.298,829837.188,910.954,0.922
1051049,random,10000,2.0,1000,Test,59.511,615.219,125.724,0.946,615.705,850484.375,922.217,0.914
1053051,random,12000,2.0,1000,Test,58.477,580.835,124.996,0.943,581.321,785851.75,886.483,0.923
1055053,random,14000,2.0,1000,Test,60.088,632.532,125.414,0.942,633.017,812765.875,901.535,0.904
1057055,random,16000,2.0,1000,Test,58.9,594.931,126.158,0.943,595.418,794962.562,891.607,0.918
1059057,random,50,3.0,1000,Test,79.146,812.255,126.822,0.82,812.738,2016051.375,1419.877,0.845
1061059,random,100,3.0,1000,Test,73.002,756.082,126.632,0.85,756.563,1731043.875,1315.691,0.864
1063061,random,200,3.0,1000,Test,77.122,804.995,126.416,0.817,805.475,2144743.25,1464.494,0.849
1065063,random,400,3.0,1000,Test,77.016,781.937,125.734,0.826,782.418,2075495.875,1440.658,0.866
1067065,random,600,3.0,1000,Test,76.253,761.401,125.771,0.82,761.883,2038199.125,1427.655,0.864
1069067,random,800,3.0,1000,Test,64.363,669.026,125.42,0.898,669.509,1255905.0,1120.672,0.893
1071069,random,1000,3.0,1000,Test,64.84,674.268,125.49,0.893,674.751,1250609.125,1118.306,0.895
1073071,random,1500,3.0,1000,Test,59.631,615.162,125.239,0.937,615.651,910485.125,954.193,0.917
1075073,random,2000,3.0,1000,Test,58.74,584.938,125.085,0.941,585.427,811478.562,900.821,0.917
1077075,random,2500,3.0,1000,Test,59.461,608.275,125.921,0.938,608.763,837242.312,915.009,0.911
1079077,random,3000,3.0,1000,Test,59.454,604.981,127.105,0.941,605.468,838784.5,915.852,0.913
1081079,random,4000,3.0,1000,Test,60.024,623.934,125.204,0.928,624.422,931112.062,964.941,0.917
1083081,random,5000,3.0,1000,Test,60.355,637.773,126.526,0.929,638.258,958065.312,978.808,0.904
1085083,random,6000,3.0,1000,Test,60.838,657.543,125.813,0.935,658.031,962033.562,980.833,0.9
1087085,random,8000,3.0,1000,Test,59.039,595.146,127.14,0.936,595.636,827661.188,909.759,0.921
1089087,random,10000,3.0,1000,Test,58.085,561.651,124.837,0.943,562.138,736590.0,858.248,0.928
1091089,random,12000,3.0,1000,Test,60.956,657.075,125.771,0.933,657.559,950381.062,974.875,0.895
1093091,random,14000,3.0,1000,Test,59.135,601.907,125.996,0.934,602.394,907326.812,952.537,0.919
1095093,random,16000,3.0,1000,Test,58.869,589.229,127.181,0.939,589.714,809468.375,899.705,0.919
1097095,random,50,4.0,1000,Test,76.929,805.732,126.626,0.833,806.215,1931263.125,1389.699,0.848
1099097,random,100,4.0,1000,Test,78.988,782.264,125.206,0.808,782.745,2163967.5,1471.043,0.851
1101099,random,200,4.0,1000,Test,75.338,784.977,126.575,0.838,785.459,1877058.375,1370.058,0.851
1103101,random,400,4.0,1000,Test,79.808,811.224,126.214,0.796,811.704,2408574.0,1551.958,0.835
1105103,random,600,4.0,1000,Test,70.22,703.369,126.31,0.854,703.849,1680730.25,1296.43,0.876
1107105,random,800,4.0,1000,Test,67.389,679.84,126.254,0.879,680.321,1398600.25,1182.624,0.886
1109107,random,1000,4.0,1000,Test,59.703,615.858,125.497,0.935,616.348,908281.75,953.038,0.916
1111109,random,1500,4.0,1000,Test,60.159,628.886,125.004,0.935,629.38,896488.312,946.831,0.902
1113111,random,2000,4.0,1000,Test,59.572,596.326,124.676,0.933,596.814,874839.0,935.328,0.916
1115113,random,2500,4.0,1000,Test,60.082,603.003,125.105,0.93,603.492,895580.938,946.351,0.913
1117115,random,3000,4.0,1000,Test,58.583,582.621,125.268,0.936,583.114,818522.5,904.722,0.919
1119117,random,4000,4.0,1000,Test,58.68,586.974,126.066,0.937,587.462,838603.875,915.753,0.919
1121119,random,5000,4.0,1000,Test,60.268,640.358,127.253,0.94,640.848,895454.562,946.285,0.905
1123121,random,6000,4.0,1000,Test,58.89,592.719,124.599,0.943,593.206,781605.562,884.085,0.92
1125123,random,8000,4.0,1000,Test,60.14,635.428,125.084,0.934,635.914,920591.062,959.474,0.907
1127125,random,10000,4.0,1000,Test,59.48,615.287,125.329,0.937,615.774,807039.625,898.354,0.909
1129127,random,12000,4.0,1000,Test,59.958,628.158,125.866,0.929,628.644,924740.312,961.634,0.906
1131129,random,14000,4.0,1000,Test,59.672,618.957,125.55,0.941,619.444,804173.625,896.757,0.91
1133131,random,16000,4.0,1000,Test,59.569,615.015,126.665,0.941,615.503,850796.625,922.386,0.91
1135133,random,50,5.0,1000,Test,80.554,805.87,127.448,0.8,806.352,2213411.25,1487.754,0.828
1137135,random,100,5.0,1000,Test,89.652,933.504,127.526,0.749,933.986,3032509.0,1741.41,0.811
1139137,random,200,5.0,1000,Test,85.885,902.357,126.563,0.759,902.839,2900058.0,1702.956,0.825
1141139,random,400,5.0,1000,Test,85.451,889.729,126.908,0.754,890.21,2832535.25,1683.014,0.803
1143141,random,600,5.0,1000,Test,75.399,784.122,127.182,0.819,784.603,2085155.375,1444.007,0.855
1145143,random,800,5.0,1000,Test,69.641,710.328,126.602,0.847,710.819,1685755.0,1298.366,0.865
1147145,random,1000,5.0,1000,Test,68.711,683.797,125.197,0.858,684.279,1650758.5,1284.818,0.88
1149147,random,1500,5.0,1000,Test,61.118,629.99,125.496,0.929,630.476,944557.875,971.884,0.905
1151149,random,2000,5.0,1000,Test,59.094,584.982,125.874,0.93,585.471,830041.938,911.066,0.919
1153151,random,2500,5.0,1000,Test,61.068,630.652,126.171,0.927,631.141,966130.875,982.92,0.909
1155153,random,3000,5.0,1000,Test,60.436,614.583,125.897,0.927,615.068,947426.562,973.358,0.916
1157155,random,4000,5.0,1000,Test,59.615,616.661,125.784,0.937,617.15,862369.5,928.639,0.906
1159157,random,5000,5.0,1000,Test,59.044,591.238,125.53,0.946,591.725,786955.312,887.105,0.924
1161159,random,6000,5.0,1000,Test,58.936,597.648,125.309,0.934,598.136,854763.25,924.534,0.914
1163161,random,8000,5.0,1000,Test,59.723,619.389,125.576,0.941,619.875,859929.688,927.324,0.91
1165163,random,10000,5.0,1000,Test,59.058,597.793,125.805,0.941,598.279,815335.5,902.959,0.919
1167165,random,12000,5.0,1000,Test,58.638,586.949,126.575,0.939,587.435,831122.312,911.659,0.923
1169167,random,14000,5.0,1000,Test,60.168,632.778,126.249,0.929,633.262,938426.312,968.724,0.907
1171169,random,16000,5.0,1000,Test,58.445,580.385,125.024,0.945,580.87,776279.0,881.067,0.921
1173171,random,50,6.0,1000,Test,81.756,836.262,126.508,0.802,836.744,2327077.25,1525.476,0.852
1175173,random,100,6.0,1000,Test,79.076,797.333,126.121,0.815,797.815,2119532.25,1455.861,0.853
1177175,random,200,6.0,1000,Test,84.244,853.591,125.289,0.783,854.072,2598286.5,1611.92,0.85
1179177,random,400,6.0,1000,Test,77.011,793.526,126.842,0.817,794.006,2104174.75,1450.577,0.848
1181179,random,600,6.0,1000,Test,73.681,789.484,126.899,0.841,789.973,1943555.125,1394.115,0.853
1183181,random,800,6.0,1000,Test,63.869,628.645,127.469,0.903,629.134,1132365.875,1064.127,0.905
1185183,random,1000,6.0,1000,Test,62.853,639.223,125.781,0.908,639.711,1129249.25,1062.661,0.894
1187185,random,1500,6.0,1000,Test,62.195,625.268,125.013,0.908,625.76,1066323.125,1032.629,0.903
1189187,random,2000,6.0,1000,Test,59.245,601.682,126.564,0.936,602.17,790586.5,889.149,0.914
1191189,random,2500,6.0,1000,Test,58.62,578.873,124.877,0.938,579.362,820559.688,905.847,0.924
1193191,random,3000,6.0,1000,Test,58.712,586.674,125.304,0.94,587.161,822021.188,906.654,0.922
1195193,random,4000,6.0,1000,Test,60.593,592.359,125.124,0.924,592.845,922287.75,960.358,0.917
1197195,random,5000,6.0,1000,Test,60.049,614.378,125.724,0.936,614.866,850378.062,922.159,0.915
1199197,random,6000,6.0,1000,Test,60.318,638.954,125.292,0.94,639.44,888846.438,942.786,0.903
1201199,random,8000,6.0,1000,Test,59.008,598.608,124.575,0.942,599.093,797410.062,892.978,0.913
1203201,random,10000,6.0,1000,Test,59.378,611.735,125.813,0.931,612.223,954773.875,977.125,0.916
1205203,random,12000,6.0,1000,Test,58.684,590.363,126.533,0.937,590.848,829231.812,910.622,0.922
1207205,random,14000,6.0,1000,Test,59.045,601.361,126.662,0.939,601.848,837342.188,915.064,0.918
1209207,random,16000,6.0,1000,Test,59.194,603.2,126.42,0.934,603.685,863121.062,929.043,0.915
1211209,random,50,7.0,1000,Test,90.581,945.123,127.006,0.759,945.604,2842483.25,1685.967,0.805
1213211,random,100,7.0,1000,Test,86.502,870.951,127.172,0.748,871.432,2845229.25,1686.781,0.804
1215213,random,200,7.0,1000,Test,77.828,776.572,126.93,0.809,777.052,2146083.5,1464.952,0.851
1217215,random,400,7.0,1000,Test,80.099,818.017,127.721,0.789,818.498,2366300.25,1538.278,0.837
1219217,random,600,7.0,1000,Test,69.965,694.466,126.701,0.845,694.948,1693514.0,1301.351,0.872
1221219,random,800,7.0,1000,Test,70.407,731.212,126.202,0.847,731.701,1720615.75,1311.722,0.864
1223221,random,1000,7.0,1000,Test,59.993,604.585,125.444,0.932,605.069,906008.062,951.845,0.914
1225223,random,1500,7.0,1000,Test,59.795,616.947,126.759,0.927,617.44,921481.938,959.939,0.912
1227225,random,2000,7.0,1000,Test,58.216,567.6,124.839,0.942,568.092,729668.438,854.206,0.928
1229227,random,2500,7.0,1000,Test,61.597,656.553,125.385,0.92,657.044,1059424.375,1029.283,0.899
1231229,random,3000,7.0,1000,Test,59.826,589.14,125.898,0.932,589.63,863988.938,929.51,0.917
1233231,random,4000,7.0,1000,Test,61.462,629.579,125.296,0.915,630.068,1022259.438,1011.068,0.905
1235233,random,5000,7.0,1000,Test,58.68,573.202,125.304,0.939,573.691,769316.625,877.107,0.927
1237235,random,6000,7.0,1000,Test,58.96,579.026,124.611,0.937,579.513,785987.188,886.559,0.922
1239237,random,8000,7.0,1000,Test,58.672,586.325,125.544,0.943,586.811,805866.375,897.701,0.917
