gene_id,housekeeping_genes,high_corr,low_CV_rank,high_CV_rank,high_feature,tRNA_related,rRNA_ribosome,high_feature_2
ENSG00000026508.15,0,1,0,0,0,0,0,1
ENSG00000026751.15,0,1,0,0,0,0,0,1
ENSG00000027075.12,0,0,0,0,1,0,0,0
ENSG00000027644.4,0,0,0,1,0,0,0,0
ENSG00000027697.11,1,0,1,0,0,0,0,0
ENSG00000027847.12,1,1,0,0,0,0,0,0
ENSG00000028116.15,1,1,0,0,1,0,0,0
ENSG00000028203.16,1,0,1,0,0,0,0,0
ENSG00000028277.19,0,0,0,0,0,1,1,0
ENSG00000028310.16,1,0,1,0,1,0,0,0
ENSG00000028528.13,0,0,1,0,1,1,0,0
ENSG00000028839.8,0,0,0,0,1,0,1,0
ENSG00000029153.13,0,1,0,0,0,0,0,0
ENSG00000029363.14,1,0,1,0,1,1,1,0
ENSG00000029364.10,0,0,1,0,0,0,1,1
ENSG00000029559.6,0,0,0,1,0,0,0,1
ENSG00000029639.9,1,0,0,0,1,0,1,0
ENSG00000029725.15,1,0,0,0,0,0,0,0
ENSG00000030066.12,0,1,1,0,1,1,1,0
ENSG00000030110.11,0,1,0,0,1,0,0,0
ENSG00000030304.11,0,0,0,0,0,0,0,1
ENSG00000030582.15,0,0,1,0,0,0,0,1
ENSG00000031003.9,0,0,0,0,1,0,0,0
ENSG00000031698.11,0,0,1,0,0,1,1,0
ENSG00000031823.13,1,0,1,0,1,0,0,0
ENSG00000032219.17,0,0,0,0,1,1,0,0
ENSG00000032389.11,0,0,0,0,1,0,0,0
ENSG00000032444.14,1,0,1,0,0,0,0,0
ENSG00000032742.16,0,1,0,0,0,0,0,0
ENSG00000033011.10,0,0,0,0,1,0,0,0
ENSG00000033030.12,0,0,0,0,1,0,1,0
ENSG00000033050.6,1,0,1,0,1,1,1,0
ENSG00000033100.13,0,0,1,0,0,0,0,0
ENSG00000033178.11,0,1,0,0,1,0,0,0
ENSG00000033627.13,0,0,1,0,0,0,0,0
ENSG00000033800.12,1,0,0,0,0,0,0,0
ENSG00000034152.17,0,0,0,0,0,0,1,0
ENSG00000034239.9,0,0,0,1,0,0,0,0
ENSG00000034510.5,0,0,1,0,0,1,0,1
ENSG00000034693.13,0,0,0,0,1,0,0,0
ENSG00000034713.6,1,1,1,0,0,1,0,0
ENSG00000034971.13,0,0,0,1,0,0,0,0
ENSG00000035141.6,1,0,0,0,0,0,0,0
ENSG00000035403.15,0,1,1,0,0,0,0,1
ENSG00000035499.11,0,1,0,0,0,0,0,1
ENSG00000035681.6,0,0,0,0,1,0,0,0
ENSG00000035687.9,0,1,1,0,1,1,0,0
ENSG00000035862.11,0,0,1,0,0,0,0,1
ENSG00000035928.13,1,0,1,0,1,0,0,0
ENSG00000036054.11,1,1,0,0,1,0,0,0
ENSG00000036257.11,0,0,1,0,0,0,0,0
ENSG00000036473.6,0,0,0,1,0,0,0,1
ENSG00000036530.7,0,1,0,0,0,0,0,1
ENSG00000036549.11,1,0,1,0,1,1,0,0
ENSG00000036565.13,0,0,0,1,0,0,0,1
ENSG00000036672.14,0,1,0,0,0,0,0,0
ENSG00000036828.12,0,0,0,1,0,1,0,0
ENSG00000037042.8,0,1,0,0,0,0,0,0
ENSG00000037241.6,1,0,0,0,0,0,1,0
ENSG00000037280.14,0,0,0,0,0,0,1,0
ENSG00000037474.13,1,1,1,0,1,1,0,0
ENSG00000037637.9,1,0,1,0,0,0,0,0
ENSG00000037749.10,1,1,0,0,1,0,0,0
ENSG00000037757.12,1,0,0,0,1,0,0,0
ENSG00000037897.15,0,0,0,0,0,1,0,0
ENSG00000038219.11,0,0,0,0,1,0,0,0
ENSG00000038274.15,1,0,1,0,1,0,0,0
ENSG00000038358.13,1,1,0,0,1,0,0,0
ENSG00000038382.16,0,1,0,0,0,0,1,0
ENSG00000038532.13,0,0,0,0,1,0,0,0
ENSG00000039123.14,0,0,1,0,1,0,1,0
ENSG00000039319.15,0,0,0,0,1,1,0,0
ENSG00000039537.12,0,0,0,1,0,0,0,0
ENSG00000039650.8,1,0,0,0,1,0,1,0
ENSG00000039987.5,0,0,0,1,0,0,0,1
ENSG00000040199.17,0,0,0,0,1,0,0,0
ENSG00000040341.16,1,0,0,0,1,0,0,0
ENSG00000040487.11,0,0,0,0,1,0,0,0
ENSG00000040633.11,1,0,0,0,0,0,0,0
ENSG00000040731.9,0,1,0,1,0,0,0,1
ENSG00000040933.14,0,0,0,0,1,0,0,0
ENSG00000041357.14,1,0,1,0,1,1,0,0
ENSG00000041802.9,1,1,1,0,1,0,1,0
ENSG00000041880.13,1,0,0,0,0,0,0,0
ENSG00000041988.14,1,1,0,0,0,0,0,0
ENSG00000042088.12,0,1,0,0,1,1,0,0
ENSG00000042286.13,0,0,0,0,1,0,0,0
