gene_id,ig_rank,saliency_rank,gbp_rank,gs_rank
ENSG00000122691.11,584.1669598,15.58775827,15.58775827,171.5517061
ENSG00000164111.13,833.3729916,15.58762208,15.58762208,56.92110654
ENSG00000160218.11,640.1989138,15.58587672,15.58587672,60.39978014
ENSG00000106327.11,490.6587028,15.5779522,15.5779522,138.1645861
ENSG00000089693.9,948.0794672,15.57549335,15.57549335,49.03190046
ENSG00000176973.7,731.7733276,15.57065844,15.57065844,54.62498379
ENSG00000205403.11,595.7856895,15.56927804,15.56927804,106.5724795
ENSG00000278259.3,708.7678698,15.56615326,15.56615326,63.15595544
ENSG00000101150.16,800.3667485,15.55918859,15.55918859,47.96280101
ENSG00000256806.3,558.523835,15.55445582,15.55445582,65.00302128
ENSG00000004455.15,824.8960884,15.55076417,15.55076417,49.78013208
ENSG00000105053.9,795.6693551,15.54976095,15.54976095,47.2036723
ENSG00000165678.18,878.7052583,15.5479915,15.5479915,47.37759516
ENSG00000137076.17,826.0297498,15.54742517,15.54742517,48.95463498
ENSG00000148219.15,558.4968407,15.53646239,15.53646239,111.0600894
ENSG00000167613.14,609.8082644,15.5360921,15.5360921,89.39537716
ENSG00000119326.13,666.9782366,15.53469414,15.53469414,66.24363384
ENSG00000196917.5,513.4987918,15.53437883,15.53437883,218.5374118
ENSG00000090659.16,721.2587804,15.53004976,15.53004976,164.8406441
ENSG00000101307.14,392.235564,15.52860407,15.52860407,112.1178957
ENSG00000124171.7,522.7063962,15.52770666,15.52770666,86.36796061
ENSG00000107862.4,735.275617,15.52614915,15.52614915,40.92534184
ENSG00000115875.17,834.2683519,15.52597408,15.52597408,53.89701948
ENSG00000171631.13,496.1418489,15.52325823,15.52325823,97.598225
ENSG00000103534.15,475.2647808,15.51855972,15.51855972,195.2680319
ENSG00000018236.13,575.8813619,15.51824754,15.51824754,222.8802122
ENSG00000134419.14,1026.405854,15.51747284,15.51747284,64.12936524
ENSG00000149948.12,671.0633453,15.51626582,15.51626582,361.0726829
ENSG00000182667.13,797.1736512,15.51542604,15.51542604,215.9911048
ENSG00000103111.13,757.4755314,15.50949843,15.50949843,47.29375592
ENSG00000120053.10,753.3414504,15.50871007,15.50871007,52.17327783
ENSG00000136527.16,777.2602838,15.50821672,15.50821672,49.78525569
ENSG00000137038.7,815.156878,15.50627437,15.50627437,58.0433958
ENSG00000197355.9,701.7568023,15.50611993,15.50611993,67.19905632
ENSG00000074755.13,685.6083675,15.5037668,15.5037668,47.06963335
ENSG00000204628.10,1017.793336,15.50314234,15.50314234,57.84923482
ENSG00000072041.15,434.8258866,15.49938202,15.49938202,337.3793281
ENSG00000176623.10,697.3748764,15.49919785,15.49919785,40.03211575
ENSG00000117013.13,491.3923421,15.49651705,15.49651705,115.7148522
ENSG00000189157.12,427.089164,15.49248997,15.49248997,101.3886331
ENSG00000214827.8,467.9464653,15.48169651,15.48169651,69.32293136
